SNo.,Train %,Test %,Accuracy
1,90.0%,10.0%,0.9298245614035088
2,80.0%,20.0%,0.956140350877193
3,70.0%,30.0%,0.935672514619883
4,60.0%,40.0%,0.9429824561403509
5,50.0%,50.0%,0.9403508771929825
6,40.0%,60.0%,0.9298245614035088
7,31.0%,70.0%,0.924812030075188
8,20.0%,80.0%,0.9276315789473685
9,10.0%,90.0%,0.9317738791423001
