SNo.,Train %,Test %,Accuracy
1,90.0%,10.0%,0.7532467532467533
2,80.0%,20.0%,0.7272727272727273
3,70.0%,30.0%,0.7229437229437229
4,60.0%,40.0%,0.737012987012987
5,50.0%,50.0%,0.7291666666666666
6,40.0%,60.0%,0.7331887201735358
7,31.0%,70.0%,0.7397769516728625
8,20.0%,80.0%,0.7365853658536585
9,10.0%,90.0%,0.7254335260115607
